text_content,image_filename,user_age,past_flags,aggression,repetition,intent,language
har jeet to khel ka hisa hoti hai,none.jpg,0,0,0,0,0,roman_urdu
ALLAH PAKISTAN KO AANE WALE WAQAT ME KAMYABIYAN NASEEB KRE,none.jpg,0,0,1,0,0,roman_urdu
AMEEN,none.jpg,0,0,1,0,0,roman_urdu
zaror ismay koE Allah ki maslihat hoge....ise lie hum har gaye...,none.jpg,0,0,0,0,0,roman_urdu
wesay hum to hamesha india say jheetay aye hay..kabe kabe un becharo ko b jitwana chachye na....lolzzzzzzz,none.jpg,0,0,1,0,0,roman_urdu
ghalti humari thi is lie hum hare... accept it..face it...,none.jpg,0,0,1,0,0,roman_urdu
"ya adi u r right,har gaye to har gaye...",none.jpg,0,0,0,0,0,roman_urdu
"ye to khail ka medan ta,Allah pak hamay jhung k medan may haamesha sorkhoro karay,ameen...",none.jpg,0,0,1,0,0,roman_urdu
"may apnay rub ka jitna b shukar ada karo wo kum hay,k pehlay mujy mosalman banaya,then pir pakistani...",none.jpg,0,0,1,0,0,roman_urdu
jo howa so howa...next time inshaAllah hum jeeten gy...ameen,none.jpg,0,0,1,0,0,roman_urdu
"DON no yaar unki feilding bht zaberdast thi, n wo shuru se wrld cup me paksitan k khilaf pora zoor laga ker khelte hain...n batting pehle bhi kunsi achi hti pak ki? pore world cup me? jitne bhi jeete hian mukable sab bwoling ki waja se, aj humare bwoler hi pit gae umar gul sahab...baki sab ache rahe only umar gul pita hai...akele us ne 80 runs diye zara ye nikalo india k total se phir dekho kaun jeeta? hum ya wo?",none.jpg,0,0,1,0,0,roman_urdu
"ek baat ALLAH KO BARE BOL PASAND NAI, dosri bat APNE DUSHMAN KO KABHI BHI KAMZOOR MAT SAMJHO..",none.jpg,0,0,1,0,0,roman_urdu
"yep farry yaar khel hai aj wo jeet gae kal hum jeet jaenge ,per hume mehnat kerni hogi :)",none.jpg,0,0,1,0,0,roman_urdu
me chahta hun sab log apni team ko appriciate karo n khas ker apne captian SHAHID AFRIDI aj nai to kal afridi hi paksitan me ek or cup laega inshallah ager Allah ne chah to  :),none.jpg,0,0,1,0,0,roman_urdu
ok yaar ye bat to sahi hai apki k shahid afridi ki aj captanship me koi masla raha maybe wo satta ho sakta hai,none.jpg,0,0,0,0,0,roman_urdu
kher kya karein ab yaar yaha indians bh shoor macha rahe hain {(doh)},none.jpg,0,0,1,0,0,roman_urdu
CONGRATZZZZZZZ chalo ab treat do NAZIA :D,none.jpg,0,0,1,0,0,roman_urdu
ab haar gaein hain hum to yehi kehna parega na{(blame)},none.jpg,0,0,1,0,0,roman_urdu
india ki ye taareeq rahi hai k wo har world cup me pak ko beet karta hai.aur mujhe is par khushi hai k mera mulk jeet gaya.,none.jpg,0,0,1,0,0,roman_urdu
thank uuuuuuuuuuu...per treat abhi nahi jab India cup le legi tab asli treat hogi na...;;),none.jpg,0,0,1,0,0,roman_urdu
par me final me india ko jitwanay nahi do gi {(nix)}ok....me srilanka ko jitwao gi.....bas me chatti ho kay india nahi jeetay ...or koi bhalay jeet jai...,none.jpg,0,0,0,0,0,roman_urdu
hamari team main bohat improvements aai hain aur agar ese hi woh aur ziyada practice karte rahe toh INSHALLAH zaroor top Cricket team ov da world banenge,none.jpg,0,0,1,0,0,roman_urdu
haar k b jeet gaya PAKISTAN:),none.jpg,0,0,0,0,0,roman_urdu
LGI RHO DEAR ...UMEED PR DUNYA KAAYEM HE..{(haha}),none.jpg,0,0,1,0,0,roman_urdu
Male se acha he felame ko Good luck Karen,none.jpg,0,0,1,0,0,roman_urdu
ye felame kiya hy ??,none.jpg,0,0,0,0,0,roman_urdu
Tum se ziada nahi lekin,none.jpg,0,0,1,0,0,roman_urdu
kaptaan aap kab ja rahe ho india?,none.jpg,0,0,0,0,0,roman_urdu
"khan jee, phr aAp kab ja rahe hai, india #PAK ko support karney #WT20 Mein ?????",none.jpg,0,0,1,0,0,roman_urdu
"Yaar, mardon ki team ko bhee good luck keh dey?",none.jpg,0,0,1,0,0,roman_urdu
sir jee kush kar Lao tussi vi ke agley election che v zaleel karvana hai,none.jpg,0,0,0,0,0,roman_urdu
hmari dua Pak women k sath he Allah inko kamiyab kre GA take pak ka nam ucha ho,none.jpg,0,0,1,0,0,roman_urdu
"kabhi jeet ke toh aaen nahi, selfion se hi shakal dikhti hai",none.jpg,0,0,1,0,0,roman_urdu
punjab mai mqm ka kirdar  muslim league n ada ker rahi hai,none.jpg,0,0,0,0,0,roman_urdu
siasat or khaile main Kia faraq hay g ?,none.jpg,0,0,0,0,0,roman_urdu
sir ap india match deakney be chale jao,none.jpg,0,0,0,0,0,roman_urdu
Lala Hamara Larko ka B aik team hay,none.jpg,0,0,0,0,0,roman_urdu
sir ap b India ja rahy hain aur Reham b tu zra Bach kr.,none.jpg,0,0,1,0,0,roman_urdu
imran sab hat jao pondi krna shdi krwa lo,none.jpg,0,0,0,0,0,roman_urdu
"Allah aap ko kamyaab kuray,",none.jpg,0,0,1,0,0,roman_urdu
g Khan saib umeed ab woman cricket team sy he bhtr option hai,none.jpg,0,0,1,0,0,roman_urdu
Allah Pa Amaan. Pa Makha de Ran'aganay. Kamyaba ao baryalay rashay. Ameen,none.jpg,0,0,1,0,0,roman_urdu
plz plz reply lala g ap ki bhhhhhhhhhhhhhhhhhhhhhhhtttttttttt bri fan hun plzzzzzzz,none.jpg,0,0,1,0,0,roman_urdu
Reply b du esko dil py ek arman hy,none.jpg,0,0,1,0,0,roman_urdu
haan wo to hyyy :),none.jpg,0,0,0,0,0,roman_urdu
Ye kb the end hoge? ?,none.jpg,0,0,0,0,0,roman_urdu
baar baar lala g reply chayea...,none.jpg,0,0,0,0,0,roman_urdu
Achi bat hay n.a. q lena chahti hun,none.jpg,0,0,1,0,0,roman_urdu
wow mere liye subse bari news h ThanksBoomBoom @ImranKhanPTI  ko bolne k lye,none.jpg,0,0,1,0,0,roman_urdu
Maza aaega aap 2 ko sath dekh k khushi hoti h😍,none.jpg,0,0,1,0,0,roman_urdu
lala jany se phly aim like dn.bht duain dn gi apko😝,none.jpg,0,0,1,0,0,roman_urdu
ab ki baat kch kar he daalo Pakistan ki kgatir,none.jpg,0,0,0,0,0,roman_urdu
Assalam u alaikum MASHALLAH MASHALLAH hamesha ki tarah Ap bohat haseen lag rahe the kolkata airport pe MASHALLAH se,none.jpg,0,0,1,0,0,roman_urdu
plss plss plsss india sy jeet janna,none.jpg,0,0,1,0,0,roman_urdu
Best Off Luky Hmra Duwa Ap Ka Sath Shahid Bhai,none.jpg,0,0,1,0,0,roman_urdu
InshaAllah Ap Win kro gy Lala.Meri Best Wishes and Dua Ap k Sath gain.,none.jpg,0,0,1,0,0,roman_urdu
hmesha ki tra aj phr AK like b ni mla kitni hushi hoti AGR ml jata😕😕😑😑😢😢,none.jpg,0,0,0,0,0,roman_urdu
Reply tu ni mil skta,none.jpg,0,0,1,0,0,roman_urdu
pyar nahi mila Meri pyari gurya ko,none.jpg,0,0,0,0,0,roman_urdu
ALLAH PAK team ko apney hifzo amaan mai rakey ameen👍👍👍👍👍,none.jpg,0,0,1,0,0,roman_urdu
aap k sath hum sab hain,none.jpg,0,0,0,0,0,roman_urdu
AAP HI HAIN DILON KI DHARKAN,none.jpg,0,0,1,0,0,roman_urdu
AAP JAAN E TAMANNA HAIN LOVE U,none.jpg,0,0,1,0,0,roman_urdu
SHAHID BHAI mei jaanta hu aap Pakistan se bohat muhabbat karte hain aur hum sab aap ko bohat pyaar karte hain bohat..love u,none.jpg,0,0,1,0,0,roman_urdu
apne india ki tarif kya ki media apke piche pd gai.are pakistan k b log ache h bt jo hmare des pe hmla krte usko sza to do,none.jpg,0,0,0,0,0,roman_urdu
hmne hi boom boom banaya h is insan ko ab India main nahi Pakistan main khatra hai,none.jpg,0,0,1,0,0,roman_urdu
Pakistan hmesha apni team ko support krta h leken team ko bh acha khelna chye plz work hard ♡,none.jpg,0,0,1,0,0,roman_urdu
ALLAH k hawaaley..,none.jpg,0,0,0,0,0,roman_urdu
Hum sab ki duaaen aap k sath hain SHAHID BHAI ..aap hi INSHALLAH t-20 world cup win karvaaen gein hamen,none.jpg,0,0,1,0,0,roman_urdu
India aur bangalio ka ghuror Thor do is bar,none.jpg,0,0,1,0,0,roman_urdu
Lala we r with u Pakistan ka parcham buland karna he India k fizaon me.,none.jpg,0,0,1,0,0,roman_urdu
ap kamyab honge q k ap Sache dil Se khelte Ho,none.jpg,0,0,1,0,0,roman_urdu
best of luck shahid bhai abi nhi tu kabi nhi,none.jpg,0,0,0,0,0,roman_urdu
woiiiiiiiii ab deakhtay hain kon harata hain is team ko IK 😍 or lala sath,none.jpg,0,0,1,0,0,roman_urdu
Lala hamari her dua he team ki kamyabi k liye hoti hai  Allah pak apko kamyabi atta kare amen,none.jpg,0,0,1,0,0,roman_urdu
woh sb tu theek hai pr jab Sara kam dosrun he krna hai tu inki kya zarorat,none.jpg,0,0,1,0,0,roman_urdu
Wassu Bhai ya ya lallu lala ki wajah se??,none.jpg,0,0,0,0,0,roman_urdu
boom boom baba jo aty waqt kia tha wo jaty waqt b kr dikhao jio lala boom boom baba,none.jpg,0,0,0,0,0,roman_urdu
ghar me ghoss kar mary gay India ko inshallah,none.jpg,0,0,1,0,0,roman_urdu
Hamari dua aap ke saat he Allah kamyab karin aap sub ko Ameen,none.jpg,0,0,1,0,0,roman_urdu
Oh shahid bai aap ne bilkul Saheeh kaha ha kun k jo aap k baray mein galat ha wo galat khay g,none.jpg,0,0,1,0,0,roman_urdu
Aap to  kahte the  pakistaniyo ke dil bahut bada hai..Ek zara bharat ki tareef k 2 labz bhi,none.jpg,0,0,1,0,0,roman_urdu
ye bohat bari baat ny hogi,none.jpg,0,0,1,0,0,roman_urdu
hum sy ziyada payar India main milta hai AGR Har kar yahan aayai to hum kitna payar karty dekh lina,none.jpg,0,0,1,0,0,roman_urdu
iski saza apke fans kyu bhukte,none.jpg,0,0,1,0,0,roman_urdu
Bhai KADAM BARAO HUM TUMHARAY SAAATH HAY,none.jpg,0,0,0,0,0,roman_urdu
ye itfaak tha! Main b aapke sath online hui,none.jpg,0,0,0,0,0,roman_urdu
& blkul hum support nhn krenge tou aur kon krega?,none.jpg,0,0,1,0,0,roman_urdu
"bhai, is baar chaddi pe bhi focus kar lena, baar baar utar jati hai 😂😂😂😂",none.jpg,0,0,0,0,0,roman_urdu
hum thak gae hain yar 20 years ho gae ap ko support krte lekin ap itne time main bus boom boom hi bne ho.....,none.jpg,0,0,1,0,0,roman_urdu
hamari duaein ap k sath hain lala good luck:-):-),none.jpg,0,0,1,0,0,roman_urdu
ALLAH apko apny hifz o amaan me rkhy. Ameen,none.jpg,0,0,1,0,0,roman_urdu
Boom Boom Plzzz Ess Bar Trophy Pakistan Laay Kar Ana....Love You Boom Boom INDIA Ko Un K Gar Guss Kar Marna Lala...!!!!!,none.jpg,0,0,0,0,0,roman_urdu
best of luck laiken shahid Bhai Zra pitch pay stay kiA kroo please,none.jpg,0,0,1,0,0,roman_urdu
Mai cricket nhai khilta but dekha buhat shukar sai ho,none.jpg,0,0,0,0,0,roman_urdu
me khelti nhi hun just dekhti hun.. or harr team kay.. pakistan k sath sath meri fav team Australia hai,none.jpg,0,0,0,0,0,roman_urdu
InshaAllah aap sorkhoro ho kar he loty ge..,none.jpg,0,0,1,0,0,roman_urdu
Lala hume bhool gay han kia? 😭,none.jpg,0,0,1,0,0,roman_urdu
Chat session kr k jaty ap to fans b happy hoty. :p,none.jpg,0,0,1,0,0,roman_urdu
Offcourse Shahid Bhai Support tu Hamesha meri #PakTeam ko hi hoti hai ye bhi koi kehne ki Baat hai.,none.jpg,0,0,1,0,0,roman_urdu
spinner to ly k ni gy  koi kam ka kya support kryn tmhari yar :-(,none.jpg,0,0,0,0,0,roman_urdu
Why not Asghar bilal usama ?????,none.jpg,0,0,1,0,0,roman_urdu
Yar kn sa spinner hai in mai sy wicket taking form ho jski ? Poor prfrmance with ball is psl both afridi em,none.jpg,0,0,1,0,0,roman_urdu
Ok ok going to study😑...Bs Apki tweet dekhne ai thi 😍😋 Chat Session Karen To Mujhe REPLY krdjiye ga ZAROOOR.. Tata~~❤️,none.jpg,0,0,0,0,0,roman_urdu
thanks lala tumare es bath ko me salam karta love you 🏆🏆,none.jpg,0,0,1,0,0,roman_urdu
Waise Lala aik kabutar sath le jao 😛,none.jpg,0,0,0,0,0,roman_urdu
Phir Security ki zarurat nahii,none.jpg,0,0,1,0,0,roman_urdu
Wapis bhi es tarah muskurati hue aana jaaan.,none.jpg,0,0,1,0,0,roman_urdu
bleeding blooming choro atleast INDIA say haar kar maat ana 😢,none.jpg,0,0,1,0,0,roman_urdu
Allah aapki madad karega I.A hum he jeetain gay💪,none.jpg,0,0,1,0,0,roman_urdu
best of luck hm ha pakistani hum tu jeety gy han jeety gy:)inshaALLAH,none.jpg,0,0,1,0,0,roman_urdu
Kashmiriyu Ka Pyare Aur Dua Ap k Saath Hai Wheather We Are Under indian Rule Stil,none.jpg,0,0,1,0,0,roman_urdu
india sy har k mt ana plz,none.jpg,0,0,1,0,0,roman_urdu
aap tou susral ja rhe hain,none.jpg,0,0,0,0,0,roman_urdu
thora sa contract revise ho jae to ap log strike kr dete ho.,none.jpg,0,0,1,0,0,roman_urdu
baray paise aa gaye hain PCB ke paas... Flying 1st Class in Etihad..,none.jpg,0,0,1,0,0,roman_urdu
nsha allah ap jeet ker aye gai :-),none.jpg,0,0,1,0,0,roman_urdu
"pni susraliyun ko batao ki larkhi wali ziyada nahi bolti, Achi batting karki batao",none.jpg,0,0,0,0,0,roman_urdu
shoaib bhai please aap se ache ommed hai ache batting ki to aap kuch  acha karo best of luck pakistan jeet ka aana .geo,none.jpg,0,0,1,0,0,roman_urdu
perform na karna bas selfian hi lete rahna!,none.jpg,0,0,1,0,0,roman_urdu
bhai jan susral walo ke duhlai kar ka ana wapis Hahahsha,none.jpg,0,0,0,0,0,roman_urdu
"match jeeto match, phir lagana naray, yeh twitter-shoodian band karo sab ...",none.jpg,0,0,0,0,0,roman_urdu
wcup MA pic kichwa kr na aa Jana,none.jpg,0,0,1,0,0,roman_urdu
Good luck Janab Allah apko Kamyab karay!,none.jpg,0,0,1,0,0,roman_urdu
Yaha bhi India ko copy kia?,none.jpg,0,0,0,0,0,roman_urdu
"hahahahaha .jab tak ALLAH k nafarman, taghoot k ghulam raho gy haar tumhara muqaddar hogi ..",none.jpg,0,0,1,0,0,roman_urdu
r jab sharmeen  or malala jesi begherat yahudi aurton per fakhr karo gy haar tumhara muqadar hogi.,none.jpg,0,0,1,0,0,roman_urdu
bahi ap kb ja rhe hn india?👍,none.jpg,0,0,0,0,0,roman_urdu
Sir is Achy Performance dyna Asia cup ki Shikast bhool jaye...,none.jpg,0,0,1,0,0,roman_urdu
Allah ap Ko kamyab kry.tum jeeto ya haro hamien tum sy payar hy.pak win,none.jpg,0,0,1,0,0,roman_urdu
srf duaon se kaam nai chalta bhai mehat bhi koi cheez hoti he,none.jpg,0,0,0,0,0,roman_urdu
Bhai ab aap log social media ki responsibility hum pe chor do and pls focus.Wish youu all the best,none.jpg,0,0,1,0,0,roman_urdu
apna aur baqi sub ka bhot sara khyal rakhy ga love you alot all of you,none.jpg,0,0,1,0,0,roman_urdu
best of luck malik ALLAH ap sub ko apny hifzo eman main rakhy AMEEN,none.jpg,0,0,1,0,0,roman_urdu
Dua'aen bahut hen aap k sath mager thori aap bhe mehnat karo pyare,none.jpg,0,0,1,0,0,roman_urdu
shoaib bhai s dfha t20 wc ma achi prfamis krna please mayos na krna qk ma apka boht bhra fan hun,none.jpg,0,0,1,0,0,roman_urdu
lala In Shaa Allah zaroor jeetain gay 🏆😊😊 humari duain app ka Sath hain 😍❤❤ #BestOfLuck,none.jpg,0,0,1,0,0,roman_urdu
Shahid Bhai Duaye app sab k sath hain Insha'Allah Achi performance hogi app sab ki :) Khayal rakhiye ga apna or Team ka :),none.jpg,0,0,1,0,0,roman_urdu
SIRF mere Shahid bhai apna bht bht khayal rakhiye ga plz,none.jpg,0,0,1,0,0,roman_urdu
I LOVE U REALLY LOVE U,none.jpg,0,0,1,0,0,roman_urdu
lala is great lala ap bating mi responsiblety le or a0na number agee karlo ok plz suchna zaroor,none.jpg,0,0,1,0,0,roman_urdu
mayosi kofr ki taraf lejati ha,none.jpg,0,0,1,0,0,roman_urdu
Lala aur hm apko esa honay nai dengay,none.jpg,0,0,1,0,0,roman_urdu
In Exactly hai jazba junoon tu himat na haar,none.jpg,0,0,1,0,0,roman_urdu
batsmen score Karen captain nah Karen😈✋👋👋,none.jpg,0,0,0,0,0,roman_urdu
Shahid bhai plzzz ap captancy choren or chane baenche. .,none.jpg,0,0,0,0,0,roman_urdu
et see ur performance in World cup T20..,none.jpg,0,0,0,0,0,roman_urdu
laikin sir ap nai puri Qum ko Mayos kar diya hai.,none.jpg,0,0,1,0,0,roman_urdu
yes bhai yes. Aapke 2-3 chakke dekhne hai bas her match me.,none.jpg,0,0,0,0,0,roman_urdu
Jo aap ko India main mili hai usse muhabbat nahi security khte hain!,none.jpg,0,0,1,0,0,roman_urdu
bhai t20 ma open krlo mehaebani .. Koi 2 matches k lia he said KR lo .. :(,none.jpg,0,0,1,0,0,roman_urdu
bhaar mai gaya T20! Zaleel huker hi ao gay.Yah batao acc 2 u you were loved more in india than Pak?Shame on YOU!!,none.jpg,0,0,1,0,0,roman_urdu
Bhai match dekha ha? Golden duck liya ha apky champion ne :D,none.jpg,0,0,0,0,0,roman_urdu
Bhai Mujhe Kit Chaheay Ap Say,none.jpg,0,0,0,0,0,roman_urdu
Javed Bhai ki pic bnai hai bht fit qisam ki :D thori reh gai bs,none.jpg,0,0,1,0,0,roman_urdu
Yeh na ho aagy peechay players kay ishtarahat he lagy hon :P,none.jpg,0,0,1,0,0,roman_urdu
Yeh Banda Cricket Khailtay Khailtay Budha Ho Gaya Laikin Isnay Cricket Ki ABCD Bhi Nahi Seekhi.,none.jpg,0,0,1,0,0,roman_urdu
Peshawar aur Islamabad ki kits achi hain,none.jpg,0,0,1,0,0,roman_urdu
Inna lillahi wainna illaihi rajaioon,none.jpg,0,0,0,0,0,roman_urdu
ho very sad ...Allah jannat me jaga de!,none.jpg,0,0,0,0,0,roman_urdu
Inna'Lillahi'Wainna'ilaihi'Rajiyon ALLAH Pak Rashid uncle ko jannat-ul-firdous mein ala moqam ata farmayein ameen ??,none.jpg,0,0,1,0,0,roman_urdu
Assalam o aliykum lala kyaaaa haaalll ha apka,none.jpg,0,0,1,0,0,roman_urdu
alla pak un ko jannat ul firdoos m jagah ata frmay ameen,none.jpg,0,0,1,0,0,roman_urdu
shahid Bhai hum India mai PSL dekhna chahty hai..telecast krwa do,none.jpg,0,0,0,0,0,roman_urdu
"lala we miss u, pls online ajaye aur humse kuch baatein hi karlein..",none.jpg,0,0,1,0,0,roman_urdu
"INNA LILLAHI WA INNA ILAIHI RAJIOON, ALLAH unhe juware rhemat me jaga de or ghar walo ko sabr e jameel ata farmaye, AAMEEN",none.jpg,0,0,1,0,0,roman_urdu
shahid bhai mere se baat nahi ki app ne lala please aj online hen to baat nahi karte please came on facebook and talk to me,none.jpg,0,0,1,0,0,roman_urdu
lala ye dp bohat achi hai..,none.jpg,0,0,1,0,0,roman_urdu
Apki har picture bohat achi hai lala,none.jpg,0,0,1,0,0,roman_urdu
ye request apk pas ec lye lekr aaya hon qk ap insb kamon me MASHA ALLAH  se bht aage hn. choti c request h shahid bhai apse,none.jpg,0,0,1,0,0,roman_urdu
"apmi parishani sbk samne bayan nahi kr skta, plz shahid bhai meri thori c help kr den",none.jpg,0,0,1,0,0,roman_urdu
salam shahid bhai. ek choti c request h shahid bhai mujhe kch paison ki bht zrurt h me bht parishan hon,none.jpg,0,0,1,0,0,roman_urdu
tum khud kab marogay kanjer ghatiya insan,none.jpg,0,0,1,0,0,roman_urdu
reply b kar dyn hum gareebo ko b bhai jan,none.jpg,0,0,1,0,0,roman_urdu
"Lala pa tweet na khlasege, Dua la rasha che drun khkari. Allah di obakhi.",none.jpg,0,0,0,0,0,roman_urdu
Allah di vo bakhi aao taso tol kor vala ta di Sabar darki Ameen,none.jpg,0,0,1,0,0,roman_urdu
"lala kitni sad morning hena, me samaj rhi thi suba ap bhabi ki bday wish tweet krenge.??",none.jpg,0,0,0,0,0,roman_urdu
haaan ywr Ajj Lala n bhaabhi k liye sad Day raha hoga,none.jpg,0,0,1,0,0,roman_urdu
"Aameen, ALLAH apne jawar e rehmat ma jga ata farmaye",none.jpg,0,0,1,0,0,roman_urdu
"So Sad BooM BooM, Allah Azeez00n ko Saber Atta kary & Un k0 Janat main Aalla Mukam",none.jpg,0,0,1,0,0,roman_urdu
but naiki must be hidden... As its sad,none.jpg,0,0,1,0,0,roman_urdu
Right hand say donate karo to left hand ko pata na chalay.,none.jpg,0,0,1,0,0,roman_urdu
GHUTYAA SAWAL KE BAAD GHUTYAA PERFORMANCE,none.jpg,0,0,1,0,0,roman_urdu
AFRIDI ...AB TOO PATLI GALI SE NIKAL LE ...APNI SHAKAL NAHEN DEKHANA...MEDIA KO,none.jpg,0,0,1,0,0,roman_urdu
tuje sherem ani chahyeh .egeret ahmed shezad or umer khatmal tere chamchay hain,none.jpg,0,0,1,0,0,roman_urdu
150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune  bas apna nam show kia,none.jpg,0,0,1,0,0,roman_urdu
PLAYER ....#1 RUN BAMA KR OUT...WAH KEYA KARKARDGI THEE....GHAROOR KA SAR NEECHAAA... BHAI AB RETIRE HO,none.jpg,0,0,1,0,0,roman_urdu
"HAAR RUPEES KE CHARITY,,,,CRORON RUPEE KA GHUPLAAA",none.jpg,0,0,1,0,0,roman_urdu
GHARROOOR KA SAAAR NEEECHAAA....ES KO TEAM SE NI9KAALOOO SALE KO,none.jpg,0,0,1,0,0,roman_urdu
GAROOR KA SAR NEECHAA...INSHALLAH AB TOO RETIRE HO JAA,none.jpg,0,0,1,0,0,roman_urdu
"pr media acha kam kabhi nhi dekhai ga alway,s negative new,s",none.jpg,0,0,1,0,0,roman_urdu
Munga da Khyber zalmi pakhto za munga Shan de.,none.jpg,0,0,0,0,0,roman_urdu
Munga Pakhtana yo pa Watan mo Zaan Qurban,none.jpg,0,0,0,0,0,roman_urdu
hm pe aik ehsaan krna k ab match na khelna,none.jpg,0,0,1,0,0,roman_urdu
apart from cricket hmay tmse pyaar hai :'D,none.jpg,0,0,1,0,0,roman_urdu
"i'll say Umar Akmal phir kabhi na kabhi perform kerta hai,",none.jpg,0,0,0,0,0,roman_urdu
hmmm achi baat hai,none.jpg,0,0,1,0,0,roman_urdu
Retirement lo WT20 kay baad. Mehrbani kero,none.jpg,0,0,1,0,0,roman_urdu
Lala Jo Bhi Decision Lna Soch Smjh K Lena...But Hm Apko Action Mai Dekhna Chahty Hn Bhai,none.jpg,0,0,0,0,0,roman_urdu
bhai ye jayasuriya ka duck ka record break krega,none.jpg,0,0,0,0,0,roman_urdu
bhai tu retire kar abhi...aise khelega to aur naam kharab ho,none.jpg,0,0,1,0,0,roman_urdu
Lala Dil se salam Pak ka ap ka ly 😊,none.jpg,0,0,1,0,0,roman_urdu
Shahid Bhai inshallah final him dobara India she khailain gay or batayein gay k Pakistan kia he or afridi kia he......,none.jpg,0,0,1,0,0,roman_urdu
Aisi ghatiya performance ki umeed the,none.jpg,0,0,1,0,0,roman_urdu
As its sad,none.jpg,0,0,1,0,0,roman_urdu
Right hand say donate karo to left hand ko pata na chalay.,none.jpg,0,0,1,0,0,roman_urdu
GHUTYAA SAWAL KE BAAD GHUTYAA PERFORMANCE,none.jpg,0,0,1,0,0,roman_urdu
PAK KA NAKAAM TAREEN BESHARAM KUPTAAN,none.jpg,0,0,1,0,0,roman_urdu
AFRIDI ...AB TOO PATLI GALI SE NIKAL LE ...APNI SHAKAL NAHEN DEKHANA...MEDIA KO,none.jpg,0,0,1,0,0,roman_urdu
DEKHAWA KA TEMARDARI GUNAH HE..,none.jpg,0,0,1,0,0,roman_urdu
tuje sherem ani chahyeh .egeret ahmed shezad or umer khatmal tere chamchay hain,none.jpg,0,0,1,0,0,roman_urdu
150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune  bas apna nam show kia,none.jpg,0,0,1,0,0,roman_urdu
GAROOR KA SAR NEECHAA...INSHALLAH AB TOO RETIRE HO JAA,none.jpg,0,0,1,0,0,roman_urdu
"pr media acha kam kabhi nhi dekhai ga alway,s negative new,s",none.jpg,0,0,1,0,0,roman_urdu
ALLAH AP KO HAMYSHA KHUSH RAKHY AFRIDI JI AP JASY GREAT LOG BHOT KAM PYDA HOTY HAN,none.jpg,0,0,1,0,0,roman_urdu
dikhlawe k liye sadqa karna haram hai,none.jpg,0,0,1,0,0,roman_urdu
subhan Allah bhai kya bat hy,none.jpg,0,0,1,0,0,roman_urdu
mushtaq bhai shahid bhai se kahen online ayn plzzzz,none.jpg,0,0,0,0,0,roman_urdu
